date,symbol,open,high,low,close,volume,adv,daily_volatility
2025-01-15,XOM,110.05,111.73,109.47,111.51,14521095.0,1625855275.6566668,0.012905706225637137
2025-01-16,AAPL,236.282,236.939,227.004,227.232,72083600.0,11475429590.6542,0.0175004402842497
2025-01-16,AMZN,224.42,224.65,220.31,220.66,24757276.0,6454276696.034,0.016454105969849392
2025-01-16,GOOGL,194.14,195.48,192.81,192.91,17815432.0,4348788883.191,0.016766245879700402
2025-01-16,HD,406.625,410.105,403.916,409.33,2305938.0,1264599156.103,0.012616254460274957
2025-01-16,JNJ,144.395,148.07,144.06,147.77,8964016.0,1208858735.2220001,0.014400169874466632
2025-01-16,JPM,254.0,257.035,252.33,254.27,15292348.0,2766651786.481,0.011890669296852686
2025-01-16,META,611.5,616.25,609.71,611.3,8355349.0,7849820103.792,0.024126509801387547
2025-01-16,MSFT,428.695,429.49,424.39,424.58,15300023.0,7469760362.216001,0.012680602351881006
2025-01-16,NVDA,138.64,138.75,133.49,133.57,209235583.0,31581243630.412,0.03513866013617538
2025-01-16,PG,159.62,160.58,159.135,160.5,5774429.0,1092872756.3700001,0.012465240578159576
2025-01-16,UNH,524.371,533.754,504.25,504.833,9163195.0,2552448049.8921,0.02722402032939989
2025-01-16,XOM,111.19,111.69,110.55,111.32,10366585.0,1578670572.311,0.01227023042622503
2025-01-17,AAPL,231.069,231.244,227.452,228.944,68798056.0,11864108912.673273,0.017142797909524162
2025-01-17,AMZN,225.84,226.51,223.08,225.94,42370123.0,6737806595.541819,0.017212989219897914
2025-01-17,GOOGL,196.53,197.23,193.75,196.0,27735089.0,4447633297.81,0.016404552327202525
2025-01-17,HD,412.69,414.45,408.53,409.38,3228960.0,1269805745.9845455,0.012034295502586206
2025-01-17,JNJ,147.375,148.38,146.61,147.03,10773054.0,1242959043.8036363,0.013808015832402883
2025-01-17,JPM,254.1575,260.62,252.14,259.16,17678101.0,2931634047.27,0.011911553892560241
2025-01-17,META,624.05,624.97,603.67,612.77,17280600.0,8098839481.81091,0.022746701479488513
2025-01-17,MSFT,434.085,434.48,428.17,429.03,26197507.0,7812465459.124545,0.01227694365429251
2025-01-17,NVDA,136.69,138.5,135.464,137.71,201188760.0,31228921858.519997,0.03486049851474264
2025-01-17,PG,159.74,161.75,159.6,161.13,7262739.0,1099906608.979091,0.011994216310731552
2025-01-17,UNH,499.919,515.936,497.131,504.013,7581191.0,2667772665.3094544,0.025688154295628415
2025-01-17,XOM,111.03,112.8651,110.82,112.32,19298504.0,1632210335.671818,0.01166895594552715
2025-01-21,AAPL,222.992,223.409,218.392,221.637,98513977.0,12694961696.64625,0.01808157849709058
2025-01-21,AMZN,228.9,231.78,226.94,230.71,39951456.0,6944422747.06,0.017247438629241572
2025-01-21,GOOGL,198.985,202.29,197.87,198.05,29971292.0,4571648388.0425005,0.015702123474503695
2025-01-21,HD,413.0,420.22,413.0,418.43,3568089.0,1288404890.5083332,0.012487938014223248
2025-01-21,JNJ,147.56,148.86,147.05,148.15,11111747.0,1276562899.9908335,0.01320250499100474
2025-01-21,JPM,260.07,264.25,259.5037,263.03,13712114.0,2987889322.1158333,0.011504593730504616
2025-01-21,META,617.825,621.5,609.0082,616.46,11674016.0,8023649850.273334,0.021606045858860175
2025-01-21,MSFT,430.2,430.8999,425.595,428.5,26085703.0,8092903648.822499,0.011702319774238683
2025-01-21,NVDA,139.16,141.83,137.09,140.83,197748985.0,30947260833.439167,0.03376267731491979
